Abricate_accession	Abricate_gene	gene family	product name	class	subclass	refseq protein	refseq nucleotide
A7J11_00380	aac(3)-IId	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	WP_000557454.1	NG_047251.1
A7J11_00815	aac(3)-IIIa	aac(3)-IIIa	aminoglycoside N-acetyltransferase AAC(3)-IIIa	AMINOGLYCOSIDE	GENTAMICIN	WP_063840261.1	NG_047241.1
A7J11_04156	aac(3)-IIIb	aac(3)-IIIb	aminoglycoside N-acetyltransferase AAC(3)-IIIb	AMINOGLYCOSIDE	GENTAMICIN	WP_058179966.1	NG_051746.1
A7J11_00515	aac(3)-IIIc	aac(3)-IIIc	aminoglycoside N-acetyltransferase AAC(3)-IIIc	AMINOGLYCOSIDE	GENTAMICIN	WP_063840263.1	NG_047243.1
A7J11_00778	aac(3)-IIa	aac(3)-IIa	aminoglycoside N-acetyltransferase AAC(3)-IIa	AMINOGLYCOSIDE	GENTAMICIN	WP_063840265.1	NG_047246.1
A7J11_00599	aac(3)-IIa	aac(3)-IIa	aminoglycoside N-acetyltransferase AAC(3)-IIa	AMINOGLYCOSIDE	GENTAMICIN	WP_002063884.1	NG_047247.1
A7J11_02223	aac(3)-IIa	aac(3)-IIa	aminoglycoside N-acetyltransferase AAC(3)-IIa	AMINOGLYCOSIDE	GENTAMICIN	WP_015060297.1	NG_047248.1
A7J11_01060	aac(3)-IIa	aac(3)-IIa	aminoglycoside N-acetyltransferase AAC(3)-IIa	AMINOGLYCOSIDE	GENTAMICIN	WP_063840264.1	NG_047245.1
A7J11_00403	aac(3)-IIa	aac(3)-IIa	aminoglycoside N-acetyltransferase AAC(3)-IIa	AMINOGLYCOSIDE	GENTAMICIN	WP_000557452.1	NG_047244.1
A7J11_01956	aac(3)-IIe	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	WP_063840267.1	NG_047252.1
A7J11_00033	aac(3)-IV	aac(3)-IV	aminoglycoside N-acetyltransferase AAC(3)-IV	AMINOGLYCOSIDE	GENTAMICIN	WP_001199192.1	NG_047253.1
A7J11_00111	aac(3)-IVa	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	AMINOGLYCOSIDE	GENTAMICIN	WP_063840268.1	NG_047254.1
A7J11_00992	aac(3)-IXa	aac(3)-IXa	aminoglycoside N-acetyltransferase AAC(3)-IXa	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063840269.1	NG_047255.1
A7J11_01534	aac(3)-VIII	aac(3)-VIII	aminoglycoside N-acetyltransferase AAC(3)-VIII	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_031136588.1	NG_047258.1
A7J11_01573	aac(3)-VIII	aac(3)-VIII	aminoglycoside N-acetyltransferase AAC(3)-VIII	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063840271.1	NG_047260.1
A7J11_01565	aac(3)-VIII	aac(3)-VIII	aminoglycoside N-acetyltransferase AAC(3)-VIII	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063840270.1	NG_047259.1
A7J11_00159	aac(3)-VIIIa	aac(3)-VIII	aminoglycoside N-acetyltransferase AAC(3)-VIIIa	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063856943.1	NG_048574.1
A7J11_00755	aac(3)-VIIa	aac(3)-VIIa	aminoglycoside N-acetyltransferase AAC(3)-VIIa	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_063840272.1	NG_047261.1
A7J11_04824	aac(3)-VIa	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	WP_000131886.1	NG_052583.3
A7J11_01122	aac(3)-VIa	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	AMINOGLYCOSIDE	GENTAMICIN	WP_063840273.1	NG_047262.1
A7J11_03456	aac(3)-XI	aac(3)-XI	aminoglycoside N-acetyltransferase AAC(3)-XI	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_046095284.1	NG_050595.1
A7J11_00943	aac(3)-Xa	aac(3)-Xa	aminoglycoside N-acetyltransferase AAC(3)-Xa	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_012377682.1	NG_047263.1
A7J11_04661	aac(6')	aac(6')	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_051208285.1	NG_052294.1
A7J11_04639	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_018893623.1	NG_052532.1
A7J11_04602	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_019453091.1	NG_052284.1
A7J11_04641	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_019655053.1	NG_052534.1
A7J11_04574	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_019722502.1	NG_052504.1
A7J11_04640	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_026328431.1	NG_052533.1
A7J11_04593	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_029391459.1	NG_052157.1
A7J11_04971	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_030695745.1	NG_054655.1
A7J11_04740	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_031084431.1	NG_052342.1
A7J11_04739	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033268654.1	NG_052341.1
A7J11_04658	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_034860925.1	NG_052291.1
A7J11_04660	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_037790839.1	NG_052293.1
A7J11_04659	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_038879528.1	NG_052292.1
A7J11_04767	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_046502149.1	NG_052464.1
A7J11_04757	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_047467383.1	NG_052425.1
A7J11_04777	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_048603867.1	NG_052188.1
A7J11_04782	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049189080.1	NG_052193.1
A7J11_04784	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049198488.1	NG_052195.1
A7J11_04781	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049204401.1	NG_052192.1
A7J11_04783	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049208356.1	NG_052194.1
A7J11_04780	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049212943.1	NG_052191.1
A7J11_04785	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049241494.1	NG_052196.1
A7J11_04779	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049270433.1	NG_052190.1
A7J11_04796	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_053766315.1	NG_052207.1
A7J11_04755	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846334.1	NG_052423.1
A7J11_04599	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010737153.1	NG_052281.1
A7J11_04616	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_015379140.1	NG_052263.1
A7J11_04667	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846259.1	NG_052300.1
A7J11_04668	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846260.1	NG_052301.1
A7J11_04711	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846204.1	NG_052175.1
A7J11_04734	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_044030410.1	NG_052336.1
A7J11_04747	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_042785406.1	NG_052415.1
A7J11_04760	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_039639671.1	NG_052428.1
A7J11_05004	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_046928126.1	NG_054688.1
A7J11_05005	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_046930149.1	NG_054689.1
A7J11_04774	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_047729810.1	NG_052471.1
A7J11_04798	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_060706838.1	NG_052209.1
A7J11_05006	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_060560340.1	NG_054690.1
A7J11_04752	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_047570454.1	NG_052420.1
A7J11_04607	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846239.1	NG_052254.1
A7J11_04696	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_023519215.1	NG_052446.1
A7J11_04699	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_041036791.1	NG_052449.1
A7J11_04698	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_025304332.1	NG_052448.1
A7J11_04787	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049646085.1	NG_052198.1
A7J11_04788	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_049677835.1	NG_052199.1
A7J11_04789	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_050141558.1	NG_052200.1
A7J11_04790	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_050537864.1	NG_052201.1
A7J11_04463	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_002289795.1	NG_052371.1
A7J11_04522	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_002293989.1	NG_052140.1
A7J11_04526	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_004874306.1	NG_052265.1
A7J11_04520	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_003950682.1	NG_052138.1
A7J11_04536	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_002293569.1	NG_052275.1
A7J11_04521	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_009067544.1	NG_052139.1
A7J11_04603	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_002373947.1	NG_052285.1
A7J11_04613	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_002328174.1	NG_052260.1
A7J11_04614	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_002339746.1	NG_052261.1
A7J11_04619	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_004937175.1	NG_052389.1
A7J11_04642	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010727362.1	NG_052159.1
A7J11_04643	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010728104.1	NG_052160.1
A7J11_04644	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010723742.1	NG_052161.1
A7J11_04645	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010736157.1	NG_052162.1
A7J11_04646	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010752789.1	NG_052163.1
A7J11_04647	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010750427.1	NG_052164.1
A7J11_04648	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_010768325.1	NG_052165.1
A7J11_04651	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_016177698.1	NG_052168.1
A7J11_04652	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_016172918.1	NG_052169.1
A7J11_04657	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_016628216.1	NG_052290.1
A7J11_04664	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_021505085.1	NG_052297.1
A7J11_04692	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_023417224.1	NG_052413.1
A7J11_04695	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_023529211.1	NG_052445.1
A7J11_04700	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033644545.1	NG_052450.1
A7J11_04701	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033636082.1	NG_052451.1
A7J11_04713	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_034688908.1	NG_052177.1
A7J11_04714	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033651281.1	NG_052178.1
A7J11_04735	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_034700626.1	NG_052337.1
A7J11_04697	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_024635824.1	NG_052447.1
A7J11_04743	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033654785.1	NG_052345.1
A7J11_04744	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033639326.1	NG_052346.1
A7J11_04745	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_033632034.1	NG_052347.1
A7J11_04759	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_039569351.1	NG_052427.1
A7J11_04761	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_043911783.1	NG_052429.1
A7J11_04762	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846352.1	NG_052459.1
A7J11_04768	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_071846353.1	NG_052465.1
A7J11_04769	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_046687856.1	NG_052466.1
A7J11_04770	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_046897272.1	NG_052467.1
A7J11_04771	aac(6')	aac(6')	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE	AMINOGLYCOSIDE	WP_047026538.1	NG_052468.1
